status,keyword,aliases,target_blog_url,source_static_page,max_links_per_page,notes
planned,urticaria treatment,Urticaria & Hives,,/treatments/urticaria-hives-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,eczema treatment,Eczema & Atopic Dermatitis,,/treatments/eczema-atopic-dermatitis-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,contact dermatitis treatment,Contact Dermatitis,,/treatments/contact-dermatitis-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,alopecia areata treatment,Alopecia Areata,,/treatments/alopecia-areata-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,lichen planus treatment,Lichen Planus,,/treatments/lichen-planus-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,molluscum treatment,Molluscum Contagiosum,,/treatments/molluscum-contagiosum-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,black neck treatment,Black Neck & Acanthosis Nigricans,,/treatments/black-neck-acanthosis-nigricans-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,chickenpox scar treatment,Chickenpox Scar,,/treatments/chickenpox-scar-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,corn removal,Corn Removal,,/treatments/corn-removal-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,dark circles treatment,Dark Circles & Under-Eye,,/treatments/dark-circles-under-eye-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,dark lips treatment,Dark Lips & Lip Pigmentation,,/treatments/dark-lips-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,freckles treatment,Freckles & Sun Spots,,/treatments/freckles-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,xanthelasma removal,Xanthelasma & Removal,,/treatments/xanthelasma-removal/,1,Add the blog URL and change status to published after the article is live.
planned,keloid treatment,Keloid & Hypertrophic Scar,,/treatments/keloid-hypertrophic-scar-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,skin cancer screening,Skin Cancer Screening,,/treatments/skin-cancer-screening/,1,Add the blog URL and change status to published after the article is live.
planned,STI treatment,STI & STD,,/treatments/sti-std-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,sun damage treatment,Sun Damage,,/treatments/sun-damage-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,white hair removal,White & Grey Hair Removal,,/treatments/white-hair-removal/,1,Add the blog URL and change status to published after the article is live.
